datetime,value,datetime_utc,tz_time,geo_id,geo_name
2022-11-22 20:00:00+01:00,107.59,2022-11-22T19:00:00Z,2022-11-22T19:00:00.000Z,3,España
2022-11-22 21:00:00+01:00,100.0,2022-11-22T20:00:00Z,2022-11-22T20:00:00.000Z,3,España
2022-11-22 22:00:00+01:00,79.69,2022-11-22T21:00:00Z,2022-11-22T21:00:00.000Z,3,España
2022-11-22 23:00:00+01:00,50.7,2022-11-22T22:00:00Z,2022-11-22T22:00:00.000Z,3,España
2022-11-23 00:00:00+01:00,70.0,2022-11-22T23:00:00Z,2022-11-22T23:00:00.000Z,3,España
2022-11-23 01:00:00+01:00,16.38,2022-11-23T00:00:00Z,2022-11-23T00:00:00.000Z,3,España
2022-11-23 02:00:00+01:00,10.0,2022-11-23T01:00:00Z,2022-11-23T01:00:00.000Z,3,España
2022-11-23 03:00:00+01:00,4.11,2022-11-23T02:00:00Z,2022-11-23T02:00:00.000Z,3,España
2022-11-23 04:00:00+01:00,4.11,2022-11-23T03:00:00Z,2022-11-23T03:00:00.000Z,3,España
2022-11-23 05:00:00+01:00,8.0,2022-11-23T04:00:00Z,2022-11-23T04:00:00.000Z,3,España
2022-11-23 06:00:00+01:00,45.99,2022-11-23T05:00:00Z,2022-11-23T05:00:00.000Z,3,España
2022-11-23 07:00:00+01:00,86.0,2022-11-23T06:00:00Z,2022-11-23T06:00:00.000Z,3,España
2022-11-23 08:00:00+01:00,96.0,2022-11-23T07:00:00Z,2022-11-23T07:00:00.000Z,3,España
2022-11-23 09:00:00+01:00,97.84,2022-11-23T08:00:00Z,2022-11-23T08:00:00.000Z,3,España
2022-11-23 10:00:00+01:00,96.0,2022-11-23T09:00:00Z,2022-11-23T09:00:00.000Z,3,España
2022-11-23 11:00:00+01:00,96.53,2022-11-23T10:00:00Z,2022-11-23T10:00:00.000Z,3,España
2022-11-23 12:00:00+01:00,98.0,2022-11-23T11:00:00Z,2022-11-23T11:00:00.000Z,3,España
2022-11-23 13:00:00+01:00,100.0,2022-11-23T12:00:00Z,2022-11-23T12:00:00.000Z,3,España
2022-11-23 14:00:00+01:00,102.0,2022-11-23T13:00:00Z,2022-11-23T13:00:00.000Z,3,España
2022-11-23 15:00:00+01:00,111.01,2022-11-23T14:00:00Z,2022-11-23T14:00:00.000Z,3,España
2022-11-23 16:00:00+01:00,130.0,2022-11-23T15:00:00Z,2022-11-23T15:00:00.000Z,3,España
2022-11-23 17:00:00+01:00,134.92,2022-11-23T16:00:00Z,2022-11-23T16:00:00.000Z,3,España
2022-11-23 18:00:00+01:00,140.0,2022-11-23T17:00:00Z,2022-11-23T17:00:00.000Z,3,España
2022-11-23 19:00:00+01:00,148.59,2022-11-23T18:00:00Z,2022-11-23T18:00:00.000Z,3,España
2022-11-23 20:00:00+01:00,160.0,2022-11-23T19:00:00Z,2022-11-23T19:00:00.000Z,3,España
2022-11-23 21:00:00+01:00,150.0,2022-11-23T20:00:00Z,2022-11-23T20:00:00.000Z,3,España
2022-11-23 22:00:00+01:00,142.0,2022-11-23T21:00:00Z,2022-11-23T21:00:00.000Z,3,España
2022-11-23 23:00:00+01:00,125.34,2022-11-23T22:00:00Z,2022-11-23T22:00:00.000Z,3,España
2022-11-24 00:00:00+01:00,143.14,2022-11-23T23:00:00Z,2022-11-23T23:00:00.000Z,3,España
2022-11-24 01:00:00+01:00,121.29,2022-11-24T00:00:00Z,2022-11-24T00:00:00.000Z,3,España
2022-11-24 02:00:00+01:00,116.1,2022-11-24T01:00:00Z,2022-11-24T01:00:00.000Z,3,España
2022-11-24 03:00:00+01:00,112.02,2022-11-24T02:00:00Z,2022-11-24T02:00:00.000Z,3,España
2022-11-24 04:00:00+01:00,110.97,2022-11-24T03:00:00Z,2022-11-24T03:00:00.000Z,3,España
2022-11-24 05:00:00+01:00,110.97,2022-11-24T04:00:00Z,2022-11-24T04:00:00.000Z,3,España
2022-11-24 06:00:00+01:00,125.0,2022-11-24T05:00:00Z,2022-11-24T05:00:00.000Z,3,España
2022-11-24 07:00:00+01:00,145.0,2022-11-24T06:00:00Z,2022-11-24T06:00:00.000Z,3,España
2022-11-24 08:00:00+01:00,135.64,2022-11-24T07:00:00Z,2022-11-24T07:00:00.000Z,3,España
2022-11-24 09:00:00+01:00,131.93,2022-11-24T08:00:00Z,2022-11-24T08:00:00.000Z,3,España
2022-11-24 10:00:00+01:00,121.28,2022-11-24T09:00:00Z,2022-11-24T09:00:00.000Z,3,España
2022-11-24 11:00:00+01:00,114.72,2022-11-24T10:00:00Z,2022-11-24T10:00:00.000Z,3,España
2022-11-24 12:00:00+01:00,116.15,2022-11-24T11:00:00Z,2022-11-24T11:00:00.000Z,3,España
2022-11-24 13:00:00+01:00,119.59,2022-11-24T12:00:00Z,2022-11-24T12:00:00.000Z,3,España
2022-11-24 14:00:00+01:00,120.18,2022-11-24T13:00:00Z,2022-11-24T13:00:00.000Z,3,España
2022-11-24 15:00:00+01:00,130.0,2022-11-24T14:00:00Z,2022-11-24T14:00:00.000Z,3,España
2022-11-24 16:00:00+01:00,148.64,2022-11-24T15:00:00Z,2022-11-24T15:00:00.000Z,3,España
2022-11-24 17:00:00+01:00,153.01,2022-11-24T16:00:00Z,2022-11-24T16:00:00.000Z,3,España
2022-11-24 18:00:00+01:00,164.1,2022-11-24T17:00:00Z,2022-11-24T17:00:00.000Z,3,España
2022-11-24 19:00:00+01:00,190.0,2022-11-24T18:00:00Z,2022-11-24T18:00:00.000Z,3,España
2022-11-24 20:00:00+01:00,195.76,2022-11-24T19:00:00Z,2022-11-24T19:00:00.000Z,3,España
2022-11-24 21:00:00+01:00,186.99,2022-11-24T20:00:00Z,2022-11-24T20:00:00.000Z,3,España
2022-11-24 22:00:00+01:00,152.16,2022-11-24T21:00:00Z,2022-11-24T21:00:00.000Z,3,España
2022-11-24 23:00:00+01:00,141.0,2022-11-24T22:00:00Z,2022-11-24T22:00:00.000Z,3,España
2022-11-25 00:00:00+01:00,150.1,2022-11-24T23:00:00Z,2022-11-24T23:00:00.000Z,3,España
